
===== launch 2026-09-16 09:10:13: 4.0e-05 =====
Batch size 5000, 300000 iterations per trial, lambda_data = 0.0 (no data loss)
Architecture from pideeponet_angular_relu_tanh_arch_continued_annealed.pkl: branch [100, 128, 128, 128, 128, 128, 100], trunk [1, 256, 256, 256, 256, 256, 1600]
Branch input: (Q - 0.000000) / 1.000000
Worker on CUDA_VISIBLE_DEVICES=1: [4e-05]

Trial 1: warmup_cosine_4.0e-05_to_4.0e-07, lambda data/res/bcs = 0.0 / 0.4491 / 0.1762
Iter 222000: L=5.170e-02  L_data=2.922e-03  L_bcs=2.655e-04  L_res=1.150e-01  val_ARE=1.525%
Iter 225000: L=5.331e-02  L_data=1.896e-02  L_bcs=1.358e-04  L_res=1.187e-01  val_ARE=1.510%
Iter 228000: L=5.221e-02  L_data=1.867e-03  L_bcs=1.466e-04  L_res=1.162e-01  val_ARE=1.478% *
Iter 231000: L=5.287e-02  L_data=8.608e-04  L_bcs=1.275e-04  L_res=1.177e-01  val_ARE=1.517%
Iter 234000: L=5.115e-02  L_data=1.188e-02  L_bcs=1.827e-04  L_res=1.138e-01  val_ARE=1.494%
Iter 237000: L=5.015e-02  L_data=1.346e-02  L_bcs=8.194e-05  L_res=1.116e-01  val_ARE=1.493%
Iter 240000: L=5.234e-02  L_data=3.345e-03  L_bcs=1.555e-04  L_res=1.165e-01  val_ARE=1.476% *
Iter 243000: L=5.043e-02  L_data=1.433e-02  L_bcs=8.697e-05  L_res=1.123e-01  val_ARE=1.512%
Iter 246000: L=5.083e-02  L_data=8.009e-03  L_bcs=1.615e-04  L_res=1.131e-01  val_ARE=1.512%
Iter 249000: L=5.013e-02  L_data=1.010e-02  L_bcs=8.450e-05  L_res=1.116e-01  val_ARE=1.516%
Iter 252000: L=5.164e-02  L_data=2.515e-02  L_bcs=8.327e-05  L_res=1.149e-01  val_ARE=1.455% *
Iter 255000: L=4.921e-02  L_data=8.777e-03  L_bcs=6.190e-05  L_res=1.096e-01  val_ARE=1.513%
Iter 258000: L=5.212e-02  L_data=8.862e-03  L_bcs=6.741e-05  L_res=1.160e-01  val_ARE=1.462%
Iter 261000: L=5.070e-02  L_data=3.293e-03  L_bcs=8.190e-05  L_res=1.129e-01  val_ARE=1.494%
Iter 264000: L=5.055e-02  L_data=5.837e-03  L_bcs=6.536e-05  L_res=1.125e-01  val_ARE=1.467%
Iter 267000: L=5.029e-02  L_data=7.989e-03  L_bcs=5.177e-05  L_res=1.120e-01  val_ARE=1.467%
Iter 270000: L=5.225e-02  L_data=1.514e-02  L_bcs=4.428e-05  L_res=1.163e-01  val_ARE=1.477%
Iter 273000: L=4.972e-02  L_data=6.266e-02  L_bcs=3.605e-05  L_res=1.107e-01  val_ARE=1.473%
Iter 276000: L=5.212e-02  L_data=2.572e-02  L_bcs=5.598e-05  L_res=1.160e-01  val_ARE=1.507%
Iter 279000: L=5.188e-02  L_data=4.077e-03  L_bcs=4.100e-05  L_res=1.155e-01  val_ARE=1.478%
Iter 282000: L=4.918e-02  L_data=5.736e-02  L_bcs=6.637e-05  L_res=1.095e-01  val_ARE=1.476%
Iter 285000: L=4.993e-02  L_data=1.216e-01  L_bcs=4.150e-05  L_res=1.112e-01  val_ARE=1.494%
Iter 288000: L=5.025e-02  L_data=2.685e-02  L_bcs=2.550e-05  L_res=1.119e-01  val_ARE=1.486%
Iter 291000: L=5.213e-02  L_data=2.488e-03  L_bcs=3.312e-05  L_res=1.161e-01  val_ARE=1.480%
Iter 294000: L=5.038e-02  L_data=5.199e-02  L_bcs=3.747e-05  L_res=1.122e-01  val_ARE=1.476%
Iter 297000: L=5.153e-02  L_data=1.780e-03  L_bcs=3.243e-05  L_res=1.147e-01  val_ARE=1.479%

Best validation ARE = 1.455% at iter 252000; restoring those params.
  new best: trial 1 (warmup_cosine_4.0e-05_to_4.0e-07) at 1.455% -> saved trained_models/lr_search/large/pideeponet_angular_relu_tanh_nodata.pkl
[I 2026-09-16 10:22:23,760] Trial 1 finished with value: 1.4781341552734375 and parameters: {}. Best is trial 1 with value: 1.4781341552734375.
