
===== launch 2026-09-16 09:10:13: 8.0e-05 =====
Batch size 5000, 300000 iterations per trial, lambda_data = 0.0 (no data loss)
Architecture from pideeponet_angular_relu_tanh_arch_continued_annealed.pkl: branch [100, 128, 128, 128, 128, 128, 100], trunk [1, 256, 256, 256, 256, 256, 1600]
Branch input: (Q - 0.000000) / 1.000000
Worker on CUDA_VISIBLE_DEVICES=2: [8e-05]

Trial 0: warmup_cosine_8.0e-05_to_8.0e-07, lambda data/res/bcs = 0.0 / 0.4491 / 0.1762
Iter 222000: L=2.379e-02  L_data=1.895e-03  L_bcs=2.678e-04  L_res=5.286e-02  val_ARE=1.344% *
Iter 225000: L=2.274e-02  L_data=6.804e-03  L_bcs=1.256e-04  L_res=5.059e-02  val_ARE=1.385%
Iter 228000: L=2.244e-02  L_data=2.546e-03  L_bcs=1.765e-04  L_res=4.989e-02  val_ARE=1.317% *
Iter 231000: L=2.320e-02  L_data=3.976e-03  L_bcs=1.988e-04  L_res=5.158e-02  val_ARE=1.322%
Iter 234000: L=2.370e-02  L_data=9.351e-03  L_bcs=1.446e-04  L_res=5.273e-02  val_ARE=1.322%
Iter 237000: L=2.235e-02  L_data=2.747e-03  L_bcs=9.937e-05  L_res=4.972e-02  val_ARE=1.339%
Iter 240000: L=2.316e-02  L_data=9.150e-04  L_bcs=3.389e-04  L_res=5.143e-02  val_ARE=1.319%
Iter 243000: L=2.366e-02  L_data=2.284e-03  L_bcs=1.092e-04  L_res=5.263e-02  val_ARE=1.288% *
Iter 246000: L=2.276e-02  L_data=1.888e-02  L_bcs=5.521e-04  L_res=5.047e-02  val_ARE=1.316%
Iter 249000: L=2.274e-02  L_data=1.409e-03  L_bcs=1.917e-04  L_res=5.057e-02  val_ARE=1.290%
Iter 252000: L=2.291e-02  L_data=2.062e-02  L_bcs=8.045e-05  L_res=5.098e-02  val_ARE=1.289%
Iter 255000: L=2.238e-02  L_data=2.174e-03  L_bcs=5.174e-05  L_res=4.982e-02  val_ARE=1.280% *
Iter 258000: L=2.323e-02  L_data=4.393e-03  L_bcs=4.241e-05  L_res=5.171e-02  val_ARE=1.258% *
Iter 261000: L=2.288e-02  L_data=2.401e-03  L_bcs=4.302e-05  L_res=5.093e-02  val_ARE=1.254% *
Iter 264000: L=2.209e-02  L_data=1.034e-02  L_bcs=1.361e-04  L_res=4.914e-02  val_ARE=1.275%
Iter 267000: L=2.232e-02  L_data=8.426e-04  L_bcs=6.125e-05  L_res=4.967e-02  val_ARE=1.250% *
Iter 270000: L=2.234e-02  L_data=5.264e-03  L_bcs=3.134e-05  L_res=4.973e-02  val_ARE=1.269%
Iter 273000: L=2.254e-02  L_data=2.102e-03  L_bcs=2.437e-05  L_res=5.018e-02  val_ARE=1.267%
Iter 276000: L=2.320e-02  L_data=1.258e-02  L_bcs=2.535e-05  L_res=5.165e-02  val_ARE=1.269%
Iter 279000: L=2.261e-02  L_data=1.124e-03  L_bcs=2.805e-05  L_res=5.034e-02  val_ARE=1.270%
Iter 282000: L=2.148e-02  L_data=8.443e-03  L_bcs=1.899e-05  L_res=4.782e-02  val_ARE=1.253%
Iter 285000: L=2.320e-02  L_data=8.744e-03  L_bcs=3.788e-05  L_res=5.166e-02  val_ARE=1.261%
Iter 288000: L=2.184e-02  L_data=3.792e-03  L_bcs=1.252e-05  L_res=4.863e-02  val_ARE=1.254%
Iter 291000: L=2.254e-02  L_data=1.654e-03  L_bcs=3.159e-05  L_res=5.017e-02  val_ARE=1.255%
Iter 294000: L=2.228e-02  L_data=6.245e-03  L_bcs=2.783e-05  L_res=4.959e-02  val_ARE=1.260%
Iter 297000: L=2.245e-02  L_data=2.830e-03  L_bcs=2.608e-05  L_res=4.997e-02  val_ARE=1.245% *

Best validation ARE = 1.245% at iter 297000; restoring those params.
[I 2026-09-16 10:56:35,751] Trial 0 finished with value: 1.2606258988380432 and parameters: {}. Best is trial 2 with value: 0.9052392840385437.
