
===== launch 2026-09-16 09:10:13: 2.0e-04 =====
Batch size 5000, 300000 iterations per trial, lambda_data = 0.0 (no data loss)
Architecture from pideeponet_angular_relu_tanh_arch_continued_annealed.pkl: branch [100, 128, 128, 128, 128, 128, 100], trunk [1, 256, 256, 256, 256, 256, 1600]
Branch input: (Q - 0.000000) / 1.000000
Worker on CUDA_VISIBLE_DEVICES=4: [0.0002]

Trial 5: warmup_cosine_2.0e-04_to_2.0e-06, lambda data/res/bcs = 0.0 / 0.4491 / 0.1762
Iter 222000: L=4.601e-03  L_data=1.164e-03  L_bcs=9.179e-05  L_res=1.021e-02  val_ARE=1.098% *
Iter 225000: L=4.346e-03  L_data=1.665e-03  L_bcs=6.763e-05  L_res=9.650e-03  val_ARE=1.095% *
Iter 228000: L=4.433e-03  L_data=2.237e-04  L_bcs=7.724e-05  L_res=9.841e-03  val_ARE=1.098%
Iter 231000: L=4.355e-03  L_data=1.132e-03  L_bcs=5.648e-05  L_res=9.674e-03  val_ARE=1.168%
Iter 234000: L=4.522e-03  L_data=1.594e-03  L_bcs=3.098e-05  L_res=1.006e-02  val_ARE=1.086% *
Iter 237000: L=4.472e-03  L_data=1.839e-03  L_bcs=6.898e-05  L_res=9.932e-03  val_ARE=1.173%
Iter 240000: L=4.356e-03  L_data=2.053e-03  L_bcs=4.418e-05  L_res=9.682e-03  val_ARE=1.148%
Iter 243000: L=4.390e-03  L_data=1.003e-03  L_bcs=3.483e-05  L_res=9.763e-03  val_ARE=1.105%
Iter 246000: L=4.356e-03  L_data=2.061e-03  L_bcs=7.624e-05  L_res=9.670e-03  val_ARE=1.102%
Iter 249000: L=4.312e-03  L_data=7.261e-04  L_bcs=2.596e-05  L_res=9.592e-03  val_ARE=1.098%
Iter 252000: L=4.389e-03  L_data=6.122e-04  L_bcs=4.022e-05  L_res=9.758e-03  val_ARE=1.120%
Iter 255000: L=4.418e-03  L_data=6.431e-04  L_bcs=2.675e-05  L_res=9.826e-03  val_ARE=1.101%
Iter 258000: L=4.368e-03  L_data=7.909e-04  L_bcs=2.227e-05  L_res=9.717e-03  val_ARE=1.104%
Iter 261000: L=4.410e-03  L_data=1.449e-03  L_bcs=3.816e-05  L_res=9.804e-03  val_ARE=1.105%
Iter 264000: L=4.254e-03  L_data=2.067e-03  L_bcs=8.527e-05  L_res=9.440e-03  val_ARE=1.116%
Iter 267000: L=4.349e-03  L_data=7.243e-04  L_bcs=6.057e-05  L_res=9.661e-03  val_ARE=1.108%
Iter 270000: L=4.447e-03  L_data=2.091e-03  L_bcs=7.824e-06  L_res=9.898e-03  val_ARE=1.096%
Iter 273000: L=4.319e-03  L_data=6.100e-04  L_bcs=1.251e-05  L_res=9.613e-03  val_ARE=1.092%
Iter 276000: L=4.118e-03  L_data=9.489e-04  L_bcs=2.016e-05  L_res=9.161e-03  val_ARE=1.081% *
Iter 279000: L=4.360e-03  L_data=6.289e-04  L_bcs=2.176e-05  L_res=9.700e-03  val_ARE=1.102%
Iter 282000: L=4.248e-03  L_data=2.360e-04  L_bcs=4.011e-06  L_res=9.458e-03  val_ARE=1.086%
Iter 285000: L=4.314e-03  L_data=2.255e-03  L_bcs=8.300e-06  L_res=9.604e-03  val_ARE=1.099%
Iter 288000: L=4.286e-03  L_data=2.681e-04  L_bcs=9.814e-06  L_res=9.540e-03  val_ARE=1.107%
Iter 291000: L=4.223e-03  L_data=3.398e-04  L_bcs=5.826e-06  L_res=9.400e-03  val_ARE=1.094%
Iter 294000: L=4.286e-03  L_data=2.759e-03  L_bcs=1.007e-05  L_res=9.539e-03  val_ARE=1.101%
Iter 297000: L=4.391e-03  L_data=1.281e-03  L_bcs=4.098e-06  L_res=9.775e-03  val_ARE=1.110%

Best validation ARE = 1.081% at iter 276000; restoring those params.
  new best: trial 5 (warmup_cosine_2.0e-04_to_2.0e-06) at 1.081% -> saved trained_models/lr_search/large/pideeponet_angular_relu_tanh_nodata.pkl
[I 2026-09-16 10:24:34,296] Trial 5 finished with value: 1.0974469780921936 and parameters: {}. Best is trial 5 with value: 1.0974469780921936.
