
===== launch 2026-09-16 09:10:13: 1.2e-04 =====
Batch size 5000, 300000 iterations per trial, lambda_data = 0.0 (no data loss)
Architecture from pideeponet_angular_relu_tanh_arch_continued_annealed.pkl: branch [100, 128, 128, 128, 128, 128, 100], trunk [1, 256, 256, 256, 256, 256, 1600]
Branch input: (Q - 0.000000) / 1.000000
Worker on CUDA_VISIBLE_DEVICES=3: [0.00012]

Trial 2: warmup_cosine_1.2e-04_to_1.2e-06, lambda data/res/bcs = 0.0 / 0.4491 / 0.1762
Iter 222000: L=9.295e-03  L_data=1.012e-03  L_bcs=6.416e-05  L_res=2.067e-02  val_ARE=0.951%
Iter 225000: L=9.214e-03  L_data=3.122e-03  L_bcs=1.227e-04  L_res=2.047e-02  val_ARE=0.965%
Iter 228000: L=9.003e-03  L_data=1.511e-03  L_bcs=1.748e-04  L_res=1.998e-02  val_ARE=0.968%
Iter 231000: L=9.179e-03  L_data=5.458e-03  L_bcs=1.352e-04  L_res=2.039e-02  val_ARE=0.940% *
Iter 234000: L=9.109e-03  L_data=5.650e-03  L_bcs=6.836e-05  L_res=2.026e-02  val_ARE=0.934% *
Iter 237000: L=9.154e-03  L_data=8.183e-04  L_bcs=7.162e-05  L_res=2.036e-02  val_ARE=0.944%
Iter 240000: L=8.942e-03  L_data=5.013e-04  L_bcs=1.058e-04  L_res=1.987e-02  val_ARE=0.934%
Iter 243000: L=9.129e-03  L_data=1.098e-03  L_bcs=3.400e-05  L_res=2.031e-02  val_ARE=0.935%
Iter 246000: L=8.865e-03  L_data=5.500e-03  L_bcs=6.854e-05  L_res=1.971e-02  val_ARE=0.916% *
Iter 249000: L=8.802e-03  L_data=1.702e-03  L_bcs=1.510e-04  L_res=1.954e-02  val_ARE=0.936%
Iter 252000: L=8.994e-03  L_data=6.360e-03  L_bcs=3.189e-05  L_res=2.001e-02  val_ARE=0.924%
Iter 255000: L=8.930e-03  L_data=4.571e-04  L_bcs=3.055e-05  L_res=1.987e-02  val_ARE=0.910% *
Iter 258000: L=8.861e-03  L_data=3.123e-03  L_bcs=3.093e-05  L_res=1.972e-02  val_ARE=0.905% *
Iter 261000: L=8.904e-03  L_data=4.814e-04  L_bcs=3.919e-05  L_res=1.981e-02  val_ARE=0.901% *
Iter 264000: L=8.604e-03  L_data=3.493e-03  L_bcs=2.254e-05  L_res=1.915e-02  val_ARE=0.924%
Iter 267000: L=8.759e-03  L_data=8.222e-04  L_bcs=1.092e-04  L_res=1.946e-02  val_ARE=0.908%
Iter 270000: L=8.722e-03  L_data=6.177e-03  L_bcs=2.402e-05  L_res=1.941e-02  val_ARE=0.910%
Iter 273000: L=8.813e-03  L_data=1.371e-03  L_bcs=1.636e-05  L_res=1.962e-02  val_ARE=0.905%
Iter 276000: L=8.561e-03  L_data=2.375e-03  L_bcs=9.798e-06  L_res=1.906e-02  val_ARE=0.905%
Iter 279000: L=8.816e-03  L_data=2.109e-03  L_bcs=1.345e-05  L_res=1.963e-02  val_ARE=0.908%
Iter 282000: L=8.804e-03  L_data=2.092e-03  L_bcs=1.672e-05  L_res=1.960e-02  val_ARE=0.899% *
Iter 285000: L=8.732e-03  L_data=3.471e-03  L_bcs=6.354e-06  L_res=1.944e-02  val_ARE=0.908%
Iter 288000: L=8.326e-03  L_data=2.653e-03  L_bcs=9.400e-06  L_res=1.854e-02  val_ARE=0.906%
Iter 291000: L=8.682e-03  L_data=5.821e-04  L_bcs=5.659e-06  L_res=1.933e-02  val_ARE=0.894% *
Iter 294000: L=8.653e-03  L_data=9.960e-03  L_bcs=1.440e-05  L_res=1.926e-02  val_ARE=0.897%
Iter 297000: L=8.704e-03  L_data=1.462e-03  L_bcs=1.966e-05  L_res=1.937e-02  val_ARE=0.899%

Best validation ARE = 0.894% at iter 291000; restoring those params.
  new best: trial 2 (warmup_cosine_1.2e-04_to_1.2e-06) at 0.894% -> saved trained_models/lr_search/large/pideeponet_angular_relu_tanh_nodata.pkl
[I 2026-09-16 10:30:09,790] Trial 2 finished with value: 0.9052392840385437 and parameters: {}. Best is trial 2 with value: 0.9052392840385437.
