
===== launch 2026-09-16 09:10:13: 1.6e-03 =====
Batch size 5000, 300000 iterations per trial, lambda_data = 0.0 (no data loss)
Architecture from pideeponet_angular_relu_tanh_arch_continued_annealed.pkl: branch [100, 128, 128, 128, 128, 128, 100], trunk [1, 256, 256, 256, 256, 256, 1600]
Branch input: (Q - 0.000000) / 1.000000
Worker on CUDA_VISIBLE_DEVICES=7: [0.0016]

Trial 4: warmup_cosine_1.6e-03_to_1.6e-05, lambda data/res/bcs = 0.0 / 0.4491 / 0.1762
Iter      0: L=3.408e+00  L_data=1.711e+01  L_bcs=5.357e-01  L_res=7.378e+00  val_ARE=100.503% *
Iter   3000: L=1.509e-01  L_data=4.671e-01  L_bcs=4.802e-02  L_res=3.173e-01  val_ARE=26.129% *
Iter   6000: L=9.749e-02  L_data=3.703e-02  L_bcs=5.897e-03  L_res=2.148e-01  val_ARE=28.812%
Iter   9000: L=9.049e-02  L_data=2.422e-01  L_bcs=2.737e-03  L_res=2.004e-01  val_ARE=25.108% *
Iter  12000: L=9.181e-02  L_data=1.258e-01  L_bcs=4.759e-03  L_res=2.026e-01  val_ARE=22.047% *
Iter  15000: L=1.146e-01  L_data=1.357e-01  L_bcs=4.283e-02  L_res=2.385e-01  val_ARE=23.846%
Iter  18000: L=9.185e-02  L_data=8.734e-02  L_bcs=1.592e-02  L_res=1.983e-01  val_ARE=22.931%
Iter  21000: L=7.455e-02  L_data=1.211e-01  L_bcs=8.802e-03  L_res=1.626e-01  val_ARE=24.872%
Iter  24000: L=1.013e-01  L_data=1.434e-01  L_bcs=3.471e-03  L_res=2.242e-01  val_ARE=32.788%
Iter  27000: L=1.111e-01  L_data=2.073e-01  L_bcs=4.101e-02  L_res=2.313e-01  val_ARE=32.636%
Iter  30000: L=1.156e-01  L_data=1.294e-01  L_bcs=6.341e-03  L_res=2.549e-01  val_ARE=32.479%
Iter  33000: L=1.210e-01  L_data=5.815e-02  L_bcs=1.393e-01  L_res=2.149e-01  val_ARE=32.441%
Iter  36000: L=1.100e-01  L_data=1.775e-01  L_bcs=5.412e-03  L_res=2.429e-01  val_ARE=32.828%
Iter  39000: L=1.028e-01  L_data=1.423e-01  L_bcs=1.054e-02  L_res=2.249e-01  val_ARE=32.397%
Iter  42000: L=1.078e-01  L_data=1.451e-02  L_bcs=1.559e-03  L_res=2.395e-01  val_ARE=32.378%
Iter  45000: L=1.009e-01  L_data=6.933e-02  L_bcs=2.308e-03  L_res=2.238e-01  val_ARE=32.541%
Iter  48000: L=1.002e-01  L_data=5.986e-02  L_bcs=8.866e-03  L_res=2.197e-01  val_ARE=32.693%
Iter  51000: L=9.853e-02  L_data=2.108e-02  L_bcs=1.034e-03  L_res=2.190e-01  val_ARE=32.543%
Iter  54000: L=1.012e-01  L_data=2.777e-02  L_bcs=5.721e-03  L_res=2.231e-01  val_ARE=32.496%
Iter  57000: L=1.058e-01  L_data=1.024e-01  L_bcs=7.260e-03  L_res=2.328e-01  val_ARE=32.867%
Iter  60000: L=1.090e-01  L_data=1.397e-01  L_bcs=3.492e-02  L_res=2.290e-01  val_ARE=33.016%
Iter  63000: L=1.035e-01  L_data=6.256e-02  L_bcs=1.702e-02  L_res=2.238e-01  val_ARE=32.951%
Iter  66000: L=1.010e-01  L_data=5.027e-02  L_bcs=4.881e-04  L_res=2.247e-01  val_ARE=32.550%
Iter  69000: L=1.031e-01  L_data=9.883e-03  L_bcs=2.366e-02  L_res=2.202e-01  val_ARE=32.723%
Iter  72000: L=9.799e-02  L_data=1.731e-01  L_bcs=1.273e-03  L_res=2.177e-01  val_ARE=32.770%
Iter  75000: L=9.973e-02  L_data=1.396e-01  L_bcs=1.292e-02  L_res=2.170e-01  val_ARE=32.709%
Iter  78000: L=9.796e-02  L_data=1.291e-01  L_bcs=8.016e-03  L_res=2.150e-01  val_ARE=32.724%
Iter  81000: L=1.025e-01  L_data=1.142e-02  L_bcs=1.138e-02  L_res=2.237e-01  val_ARE=32.731%
Iter  84000: L=9.951e-02  L_data=2.031e-01  L_bcs=1.163e-03  L_res=2.211e-01  val_ARE=32.838%
Iter  87000: L=1.004e-01  L_data=1.219e-01  L_bcs=2.873e-03  L_res=2.224e-01  val_ARE=32.778%
Iter  90000: L=1.031e-01  L_data=3.089e-01  L_bcs=3.585e-02  L_res=2.155e-01  val_ARE=32.739%
Iter  93000: L=9.951e-02  L_data=1.836e-02  L_bcs=9.012e-04  L_res=2.212e-01  val_ARE=32.781%
Iter  96000: L=9.945e-02  L_data=2.921e-01  L_bcs=2.060e-03  L_res=2.206e-01  val_ARE=32.752%
Iter  99000: L=9.561e-02  L_data=5.132e-02  L_bcs=4.579e-04  L_res=2.127e-01  val_ARE=32.603%
Iter 102000: L=9.869e-02  L_data=2.319e-01  L_bcs=4.059e-03  L_res=2.182e-01  val_ARE=32.790%
Iter 105000: L=9.759e-02  L_data=1.784e-02  L_bcs=4.335e-04  L_res=2.171e-01  val_ARE=32.734%
Iter 108000: L=1.000e-01  L_data=1.310e-01  L_bcs=7.900e-04  L_res=2.224e-01  val_ARE=32.710%
Iter 111000: L=9.844e-02  L_data=5.310e-02  L_bcs=7.366e-04  L_res=2.189e-01  val_ARE=32.646%
Iter 114000: L=9.877e-02  L_data=1.125e-01  L_bcs=8.678e-04  L_res=2.196e-01  val_ARE=32.671%
Iter 117000: L=9.933e-02  L_data=2.637e-02  L_bcs=3.350e-03  L_res=2.199e-01  val_ARE=32.809%
Iter 120000: L=9.886e-02  L_data=1.498e-01  L_bcs=1.555e-03  L_res=2.195e-01  val_ARE=32.718%
Iter 123000: L=1.043e-01  L_data=6.501e-02  L_bcs=1.304e-02  L_res=2.271e-01  val_ARE=32.938%
Iter 126000: L=1.006e-01  L_data=8.519e-02  L_bcs=1.626e-03  L_res=2.235e-01  val_ARE=32.549%
Iter 129000: L=9.610e-02  L_data=2.807e-02  L_bcs=1.902e-04  L_res=2.139e-01  val_ARE=32.706%
Iter 132000: L=9.931e-02  L_data=1.676e-02  L_bcs=7.654e-04  L_res=2.208e-01  val_ARE=32.919%
Iter 135000: L=9.788e-02  L_data=1.224e-01  L_bcs=7.879e-04  L_res=2.176e-01  val_ARE=32.662%
Iter 138000: L=9.857e-02  L_data=1.219e-01  L_bcs=9.700e-04  L_res=2.191e-01  val_ARE=32.734%
Iter 141000: L=9.900e-02  L_data=6.768e-02  L_bcs=4.066e-03  L_res=2.189e-01  val_ARE=32.645%
Iter 144000: L=9.921e-02  L_data=1.570e-01  L_bcs=3.994e-04  L_res=2.207e-01  val_ARE=32.815%
Iter 147000: L=9.804e-02  L_data=4.957e-02  L_bcs=8.770e-04  L_res=2.180e-01  val_ARE=32.744%
Iter 150000: L=9.804e-02  L_data=5.442e-02  L_bcs=2.489e-03  L_res=2.173e-01  val_ARE=32.793%
Iter 153000: L=1.023e-01  L_data=3.876e-01  L_bcs=2.414e-03  L_res=2.267e-01  val_ARE=32.735%
Iter 156000: L=1.008e-01  L_data=1.860e-01  L_bcs=6.325e-03  L_res=2.219e-01  val_ARE=32.729%
Iter 159000: L=9.773e-02  L_data=1.102e-01  L_bcs=2.814e-04  L_res=2.175e-01  val_ARE=32.736%
Iter 162000: L=9.543e-02  L_data=3.935e-02  L_bcs=5.556e-04  L_res=2.123e-01  val_ARE=32.629%
Iter 165000: L=1.038e-01  L_data=9.677e-02  L_bcs=4.412e-03  L_res=2.294e-01  val_ARE=32.806%
Iter 168000: L=9.923e-02  L_data=1.640e-01  L_bcs=7.977e-04  L_res=2.206e-01  val_ARE=32.664%
Iter 171000: L=1.008e-01  L_data=1.655e-02  L_bcs=3.106e-03  L_res=2.232e-01  val_ARE=32.659%
Iter 174000: L=1.015e-01  L_data=3.093e-02  L_bcs=5.472e-04  L_res=2.258e-01  val_ARE=32.620%
