
===== launch 2026-09-16 09:10:13: 4.0e-04 =====
Batch size 5000, 300000 iterations per trial, lambda_data = 0.0 (no data loss)
Architecture from pideeponet_angular_relu_tanh_arch_continued_annealed.pkl: branch [100, 128, 128, 128, 128, 128, 100], trunk [1, 256, 256, 256, 256, 256, 1600]
Branch input: (Q - 0.000000) / 1.000000
Worker on CUDA_VISIBLE_DEVICES=5: [0.0004]

Iter 141000: L=4.948e-03  L_data=1.755e-03  L_bcs=1.567e-03  L_res=1.040e-02  val_ARE=16.776%
Iter 144000: L=1.415e-02  L_data=2.061e-03  L_bcs=4.570e-02  L_res=1.358e-02  val_ARE=16.585%
Iter 147000: L=4.478e-03  L_data=1.608e-03  L_bcs=1.098e-04  L_res=9.927e-03  val_ARE=16.968%
Iter 150000: L=4.654e-03  L_data=2.753e-03  L_bcs=6.173e-05  L_res=1.034e-02  val_ARE=16.754%
Iter 153000: L=4.656e-03  L_data=2.682e-03  L_bcs=8.862e-04  L_res=1.002e-02  val_ARE=16.731%
Iter 156000: L=5.571e-03  L_data=4.836e-03  L_bcs=3.699e-03  L_res=1.095e-02  val_ARE=16.947%
Iter 159000: L=4.432e-03  L_data=1.492e-03  L_bcs=3.172e-04  L_res=9.744e-03  val_ARE=16.522%
Iter 162000: L=4.297e-03  L_data=1.384e-03  L_bcs=2.194e-04  L_res=9.482e-03  val_ARE=16.739%
Iter 165000: L=4.048e-03  L_data=5.303e-04  L_bcs=9.809e-05  L_res=8.974e-03  val_ARE=16.665%
Iter 168000: L=4.467e-03  L_data=1.784e-03  L_bcs=3.069e-04  L_res=9.827e-03  val_ARE=16.793%
Iter 171000: L=4.405e-03  L_data=2.140e-03  L_bcs=9.074e-04  L_res=9.454e-03  val_ARE=16.780%
Iter 174000: L=3.986e-03  L_data=1.157e-03  L_bcs=5.722e-05  L_res=8.854e-03  val_ARE=16.741%
Iter 177000: L=4.034e-03  L_data=1.375e-03  L_bcs=1.129e-04  L_res=8.939e-03  val_ARE=16.688%
Iter 180000: L=4.078e-03  L_data=5.192e-03  L_bcs=9.652e-05  L_res=9.043e-03  val_ARE=16.592%
Iter 183000: L=4.063e-03  L_data=3.233e-03  L_bcs=2.117e-04  L_res=8.965e-03  val_ARE=16.600%
Iter 186000: L=3.744e-03  L_data=1.107e-03  L_bcs=6.868e-05  L_res=8.310e-03  val_ARE=16.743%
Iter 189000: L=6.931e-03  L_data=1.353e-03  L_bcs=3.074e-03  L_res=1.423e-02  val_ARE=16.762%
Iter 192000: L=3.878e-03  L_data=3.766e-04  L_bcs=2.982e-04  L_res=8.518e-03  val_ARE=16.772%
Iter 195000: L=3.758e-03  L_data=3.599e-03  L_bcs=3.660e-05  L_res=8.353e-03  val_ARE=16.670%
Iter 198000: L=3.863e-03  L_data=2.591e-03  L_bcs=6.670e-05  L_res=8.576e-03  val_ARE=16.718%
Iter 201000: L=3.956e-03  L_data=2.563e-03  L_bcs=2.076e-04  L_res=8.727e-03  val_ARE=16.712%
Iter 204000: L=3.814e-03  L_data=2.535e-03  L_bcs=3.980e-05  L_res=8.476e-03  val_ARE=16.672%
Iter 207000: L=3.703e-03  L_data=9.358e-04  L_bcs=5.001e-05  L_res=8.225e-03  val_ARE=16.605%
Iter 210000: L=3.679e-03  L_data=3.839e-03  L_bcs=1.965e-04  L_res=8.115e-03  val_ARE=16.524%
Iter 213000: L=3.823e-03  L_data=5.163e-03  L_bcs=6.895e-05  L_res=8.487e-03  val_ARE=16.511%
Iter 216000: L=3.761e-03  L_data=3.333e-03  L_bcs=7.399e-05  L_res=8.345e-03  val_ARE=16.741%
Iter 219000: L=3.511e-03  L_data=1.110e-03  L_bcs=3.013e-05  L_res=7.807e-03  val_ARE=16.463%
Iter 222000: L=3.674e-03  L_data=1.159e-03  L_bcs=2.278e-05  L_res=8.173e-03  val_ARE=16.602%
Iter 225000: L=3.615e-03  L_data=8.801e-04  L_bcs=9.790e-05  L_res=8.011e-03  val_ARE=16.453%
Iter 228000: L=3.613e-03  L_data=2.053e-03  L_bcs=1.029e-04  L_res=8.005e-03  val_ARE=16.441%
Iter 231000: L=3.692e-03  L_data=6.444e-04  L_bcs=2.329e-04  L_res=8.129e-03  val_ARE=16.380%
Iter 234000: L=3.728e-03  L_data=6.605e-04  L_bcs=2.912e-05  L_res=8.290e-03  val_ARE=16.492%
Iter 237000: L=3.653e-03  L_data=1.360e-03  L_bcs=8.882e-05  L_res=8.099e-03  val_ARE=16.368%
Iter 240000: L=3.618e-03  L_data=1.781e-03  L_bcs=1.883e-05  L_res=8.048e-03  val_ARE=16.473%
Iter 243000: L=3.522e-03  L_data=3.330e-03  L_bcs=5.762e-05  L_res=7.819e-03  val_ARE=16.517%
Iter 246000: L=3.564e-03  L_data=8.585e-03  L_bcs=1.889e-05  L_res=7.929e-03  val_ARE=16.403%
Iter 249000: L=3.622e-03  L_data=1.708e-03  L_bcs=2.924e-05  L_res=8.053e-03  val_ARE=16.445%
Iter 252000: L=3.494e-03  L_data=2.498e-03  L_bcs=1.928e-05  L_res=7.772e-03  val_ARE=16.517%
Iter 255000: L=3.632e-03  L_data=7.346e-04  L_bcs=1.192e-04  L_res=8.040e-03  val_ARE=16.394%
Iter 258000: L=3.611e-03  L_data=2.509e-03  L_bcs=8.227e-06  L_res=8.037e-03  val_ARE=16.471%
Iter 261000: L=3.488e-03  L_data=8.723e-04  L_bcs=2.443e-05  L_res=7.757e-03  val_ARE=16.328%
Iter 264000: L=3.464e-03  L_data=7.207e-04  L_bcs=4.200e-05  L_res=7.697e-03  val_ARE=16.371%
Iter 267000: L=3.421e-03  L_data=6.043e-04  L_bcs=6.940e-06  L_res=7.615e-03  val_ARE=16.407%
Iter 270000: L=3.501e-03  L_data=5.840e-04  L_bcs=1.462e-05  L_res=7.789e-03  val_ARE=16.399%
Iter 273000: L=3.530e-03  L_data=1.694e-03  L_bcs=1.352e-05  L_res=7.855e-03  val_ARE=16.411%
Iter 276000: L=3.413e-03  L_data=9.345e-04  L_bcs=4.224e-06  L_res=7.599e-03  val_ARE=16.406%
Iter 279000: L=3.489e-03  L_data=1.613e-03  L_bcs=4.968e-06  L_res=7.768e-03  val_ARE=16.382%
Iter 282000: L=3.493e-03  L_data=7.475e-04  L_bcs=5.570e-06  L_res=7.776e-03  val_ARE=16.354%
Iter 285000: L=3.508e-03  L_data=2.510e-03  L_bcs=9.634e-06  L_res=7.807e-03  val_ARE=16.344%
Iter 288000: L=3.477e-03  L_data=9.867e-04  L_bcs=1.044e-05  L_res=7.738e-03  val_ARE=16.373%
Iter 291000: L=3.333e-03  L_data=1.247e-03  L_bcs=3.602e-06  L_res=7.420e-03  val_ARE=16.361%
Iter 294000: L=3.553e-03  L_data=1.318e-03  L_bcs=5.774e-06  L_res=7.909e-03  val_ARE=16.329%
Iter 297000: L=3.528e-03  L_data=6.803e-04  L_bcs=1.652e-06  L_res=7.856e-03  val_ARE=16.353%

Best validation ARE = 3.744% at iter 3000; restoring those params.
  new best: trial 3 (warmup_cosine_4.0e-04_to_4.0e-06) at 3.744% -> saved trained_models/lr_search/large/pideeponet_angular_relu_tanh_nodata.pkl
[I 2026-09-16 10:22:18,891] Trial 3 finished with value: 16.366992950439453 and parameters: {}. Best is trial 3 with value: 16.366992950439453.
