
===== launch 2026-09-16 09:10:13: 2.0e-05 =====
Batch size 5000, 300000 iterations per trial, lambda_data = 0.0 (no data loss)
Architecture from pideeponet_angular_relu_tanh_arch_continued_annealed.pkl: branch [100, 128, 128, 128, 128, 128, 100], trunk [1, 256, 256, 256, 256, 256, 1600]
Branch input: (Q - 0.000000) / 1.000000
Worker on CUDA_VISIBLE_DEVICES=0: [2e-05]

Trial 6: warmup_cosine_2.0e-05_to_2.0e-07, lambda data/res/bcs = 0.0 / 0.4491 / 0.1762
Iter 222000: L=7.076e-02  L_data=9.105e-03  L_bcs=1.524e-04  L_res=1.575e-01  val_ARE=1.849% *
Iter 225000: L=7.124e-02  L_data=1.395e-02  L_bcs=3.547e-04  L_res=1.585e-01  val_ARE=1.863%
Iter 228000: L=6.947e-02  L_data=3.214e-03  L_bcs=1.832e-04  L_res=1.546e-01  val_ARE=1.852%
Iter 231000: L=6.958e-02  L_data=6.721e-03  L_bcs=1.275e-04  L_res=1.549e-01  val_ARE=1.842% *
Iter 234000: L=6.901e-02  L_data=3.973e-02  L_bcs=1.171e-04  L_res=1.536e-01  val_ARE=1.868%
Iter 237000: L=6.785e-02  L_data=1.266e-02  L_bcs=9.718e-05  L_res=1.510e-01  val_ARE=1.850%
Iter 240000: L=6.999e-02  L_data=1.411e-02  L_bcs=1.406e-04  L_res=1.558e-01  val_ARE=1.859%
Iter 243000: L=6.877e-02  L_data=1.306e-02  L_bcs=1.055e-04  L_res=1.531e-01  val_ARE=1.846%
Iter 246000: L=7.047e-02  L_data=4.713e-03  L_bcs=1.126e-04  L_res=1.569e-01  val_ARE=1.837% *
Iter 249000: L=7.100e-02  L_data=4.264e-03  L_bcs=1.202e-04  L_res=1.581e-01  val_ARE=1.849%
Iter 252000: L=7.037e-02  L_data=5.437e-03  L_bcs=1.316e-04  L_res=1.566e-01  val_ARE=1.853%
Iter 255000: L=6.948e-02  L_data=6.790e-02  L_bcs=1.399e-04  L_res=1.547e-01  val_ARE=1.847%
Iter 258000: L=7.116e-02  L_data=6.749e-02  L_bcs=1.489e-04  L_res=1.584e-01  val_ARE=1.848%
Iter 261000: L=6.937e-02  L_data=7.104e-03  L_bcs=9.801e-05  L_res=1.544e-01  val_ARE=1.839%
Iter 264000: L=6.888e-02  L_data=1.155e-02  L_bcs=9.664e-05  L_res=1.533e-01  val_ARE=1.846%
Iter 267000: L=6.925e-02  L_data=7.117e-03  L_bcs=8.686e-05  L_res=1.542e-01  val_ARE=1.839%
Iter 270000: L=7.032e-02  L_data=5.789e-02  L_bcs=1.025e-04  L_res=1.565e-01  val_ARE=1.845%
Iter 273000: L=6.703e-02  L_data=3.652e-02  L_bcs=8.623e-05  L_res=1.492e-01  val_ARE=1.840%
Iter 276000: L=7.042e-02  L_data=8.015e-02  L_bcs=1.246e-04  L_res=1.568e-01  val_ARE=1.838%
Iter 279000: L=7.062e-02  L_data=1.422e-02  L_bcs=8.588e-05  L_res=1.572e-01  val_ARE=1.836% *
Iter 282000: L=6.714e-02  L_data=8.198e-02  L_bcs=8.845e-05  L_res=1.495e-01  val_ARE=1.836%
Iter 285000: L=6.717e-02  L_data=3.318e-02  L_bcs=1.012e-04  L_res=1.495e-01  val_ARE=1.836%
Iter 288000: L=6.767e-02  L_data=5.406e-02  L_bcs=8.499e-05  L_res=1.507e-01  val_ARE=1.834% *
Iter 291000: L=7.057e-02  L_data=2.876e-02  L_bcs=7.782e-05  L_res=1.571e-01  val_ARE=1.836%
Iter 294000: L=6.945e-02  L_data=7.342e-02  L_bcs=7.738e-05  L_res=1.546e-01  val_ARE=1.836%
Iter 297000: L=6.938e-02  L_data=2.356e-02  L_bcs=8.690e-05  L_res=1.545e-01  val_ARE=1.836%

Best validation ARE = 1.834% at iter 288000; restoring those params.
[I 2026-09-16 10:22:44,697] Trial 6 finished with value: 1.8360729813575745 and parameters: {}. Best is trial 1 with value: 1.4781341552734375.
