
===== launch 2026-09-16 09:10:13: 8.0e-04 =====
Batch size 5000, 300000 iterations per trial, lambda_data = 0.0 (no data loss)
Architecture from pideeponet_angular_relu_tanh_arch_continued_annealed.pkl: branch [100, 128, 128, 128, 128, 128, 100], trunk [1, 256, 256, 256, 256, 256, 1600]
Branch input: (Q - 0.000000) / 1.000000
Worker on CUDA_VISIBLE_DEVICES=6: [0.0008]

Trial 7: warmup_cosine_8.0e-04_to_8.0e-06, lambda data/res/bcs = 0.0 / 0.4491 / 0.1762
Iter      0: L=3.408e+00  L_data=1.711e+01  L_bcs=5.357e-01  L_res=7.378e+00  val_ARE=100.503% *
Iter   3000: L=9.612e-02  L_data=2.447e-01  L_bcs=1.981e-02  L_res=2.063e-01  val_ARE=6.870% *
Iter   6000: L=8.600e-02  L_data=4.007e-02  L_bcs=3.628e-03  L_res=1.901e-01  val_ARE=14.908%
Iter   9000: L=1.063e-01  L_data=2.954e-02  L_bcs=1.166e-01  L_res=1.910e-01  val_ARE=21.586%
Iter  12000: L=8.481e-02  L_data=1.313e-01  L_bcs=7.299e-03  L_res=1.860e-01  val_ARE=25.167%
Iter  15000: L=8.237e-02  L_data=6.014e-02  L_bcs=4.861e-03  L_res=1.815e-01  val_ARE=29.720%
Iter  18000: L=7.646e-02  L_data=1.247e-02  L_bcs=3.324e-02  L_res=1.572e-01  val_ARE=29.786%
Iter  21000: L=5.496e-02  L_data=4.297e-02  L_bcs=2.139e-03  L_res=1.215e-01  val_ARE=30.048%
Iter  24000: L=4.915e-02  L_data=6.814e-03  L_bcs=5.327e-03  L_res=1.073e-01  val_ARE=30.913%
Iter  27000: L=4.665e-02  L_data=3.975e-02  L_bcs=1.238e-02  L_res=9.902e-02  val_ARE=30.770%
Iter  30000: L=4.040e-02  L_data=2.720e-02  L_bcs=2.663e-03  L_res=8.891e-02  val_ARE=30.661%
Iter  33000: L=5.551e-02  L_data=2.653e-02  L_bcs=5.369e-03  L_res=1.215e-01  val_ARE=31.208%
Iter  36000: L=3.742e-02  L_data=1.087e-02  L_bcs=1.648e-03  L_res=8.267e-02  val_ARE=31.157%
Iter  39000: L=4.591e-02  L_data=9.831e-03  L_bcs=1.998e-02  L_res=9.438e-02  val_ARE=31.548%
Iter  42000: L=1.162e-01  L_data=6.488e-03  L_bcs=5.582e-02  L_res=2.368e-01  val_ARE=32.380%
Iter  45000: L=3.537e-02  L_data=2.918e-02  L_bcs=5.880e-03  L_res=7.645e-02  val_ARE=31.528%
Iter  48000: L=3.402e-02  L_data=4.067e-02  L_bcs=8.901e-04  L_res=7.540e-02  val_ARE=31.844%
Iter  51000: L=3.895e-02  L_data=7.478e-03  L_bcs=3.682e-03  L_res=8.529e-02  val_ARE=31.812%
Iter  54000: L=4.474e-02  L_data=1.762e-02  L_bcs=6.393e-02  L_res=7.455e-02  val_ARE=31.446%
Iter  57000: L=3.144e-02  L_data=1.888e-02  L_bcs=6.613e-04  L_res=6.975e-02  val_ARE=31.439%
Iter  60000: L=3.161e-02  L_data=3.069e-02  L_bcs=9.518e-04  L_res=7.001e-02  val_ARE=31.643%
Iter  63000: L=3.203e-02  L_data=4.319e-02  L_bcs=2.535e-03  L_res=7.034e-02  val_ARE=31.880%
Iter  66000: L=2.971e-02  L_data=1.936e-02  L_bcs=3.386e-04  L_res=6.601e-02  val_ARE=31.427%
Iter  69000: L=3.109e-02  L_data=2.774e-02  L_bcs=3.154e-03  L_res=6.799e-02  val_ARE=31.722%
Iter  72000: L=3.171e-02  L_data=2.744e-02  L_bcs=3.743e-03  L_res=6.914e-02  val_ARE=31.711%
Iter  75000: L=3.032e-02  L_data=1.075e-02  L_bcs=3.135e-03  L_res=6.629e-02  val_ARE=31.802%
Iter  78000: L=2.906e-02  L_data=6.876e-03  L_bcs=7.371e-04  L_res=6.443e-02  val_ARE=31.992%
Iter  81000: L=2.797e-02  L_data=3.728e-02  L_bcs=4.152e-04  L_res=6.212e-02  val_ARE=31.810%
Iter  84000: L=9.503e-02  L_data=2.132e-01  L_bcs=2.430e-03  L_res=2.107e-01  val_ARE=31.481%
Iter  87000: L=6.253e-02  L_data=4.074e-02  L_bcs=3.097e-02  L_res=1.271e-01  val_ARE=32.162%
Iter  90000: L=4.781e-02  L_data=3.315e-02  L_bcs=2.814e-03  L_res=1.053e-01  val_ARE=32.258%
